Naziv;Razina;Prosje?na ?teta;Prosje?no iskustvo;Odigrane bitke;Pobjede;WN8
M18 Hellcat;6;515,31;335;744;49,73%;786,14
T25 Pilot Number 1;8;847,06;532;691;48,19%;1033,68
M103;9;1120,5;441;542;46,13%;933,19
T30;9;1358,04;442;521;47,98%;1056,9
M10 Wolverine;5;396,22;312;513;50,49%;827,37
M12;7;782,32;332;379;44,33%;888,33
T32;8;942,17;495;371;51,48%;1020,61
IS-3;8;972,36;472;367;50,41%;1055,42
T28 Prototype;8;1002,72;439;353;48,73%;996,01
M44;6;534,22;294;314;49,04%;773,68
M53/M55;9;1287,01;549;303;47,52%;1134,84
Strv 74;6;596,04;373;297;50,84%;1115,53
T110E4;10;1556,91;478;275;46,91%;1032,98
T25/2;7;609,24;361;252;48,41%;707,09
UDES 03;8;936,13;407;240;40,83%;775,21
Leo;7;773,18;432;220;46,82%;1140,83
T29;7;918,53;492;215;50,23%;1083,93
Cromwell;6;623,38;435;212;52,36%;1236,59
Bat.-Châtillon 12 t;8;528,73;424;211;42,18%;757,11
Ikv 90 Typ B;7;867,2;394;210;51,90%;1305,22
T-10;9;939,9;545;203;46,80%;711,21
Nashorn;6;627,84;347;196;52,04%;1071,72
Strv 103-0;9;1536,71;590;184;49,46%;1307,72
AMX ELC bis;5;211,76;264;182;42,86%;500,61
M40/M43;8;1001,64;439;173;45,66%;961,48
IS;7;702,76;405;172;50,58%;857,73
AMX 13 75;7;568,88;432;168;52,98%;1242,39
Ikv 65 Alt II;6;599,68;362;166;54,22%;1176,41
Rhm.-Borsig Waffenträger;8;1331,07;582;152;48,68%;1243,37
KV-85;6;539,87;351;142;54,23%;826,41
UDES 14 Alt 5;8;984,91;507;142;47,18%;1066,81
M6;6;422,64;309;140;45,00%;519,96
Churchill VII;6;494,04;339;133;44,36%;744,17
T21;6;377,64;331;133;47,37%;1012,76
Sturer Emil;7;699,07;399;123;46,34%;802,3
AMX 12 t;6;365,78;364;122;52,46%;913,68
T1 Heavy Tank;5;220,97;222;120;35,83%;195,39
59-16;6;385,1;412;107;50,47%;1017,8
T-50-2;6;468,4;502;104;51,92%;1248,92
AMX 13 90;9;514,34;497;103;47,57%;566,01
KV-1;5;410,99;302;103;51,46%;795,96
Panther/M10;7;782,46;564;103;47,57%;1133,9
M41 HMC;5;383,07;235;102;43,14%;415,4
STA-1;8;976,39;667;98;46,94%;1118,4
Emil I;8;1042,34;564;97;41,24%;962,98
Lago;4;184,58;217;96;46,88%;441,42
T26E5;8;986,59;704;96;55,21%;1210,21
Churchill I;5;240,26;267;95;43,16%;261,51
Black Prince;7;591,03;443;95;46,32%;600,52
T110E5;10;1241,62;567;93;40,86%;739,69
Type 5 Chi-Ri;7;573,18;432;92;40,22%;652,7
T40;4;119,15;145;92;39,13%;26,07
Strv m/42;5;318,35;258;91;42,86%;683,4
T69;8;640,63;527;88;39,77%;538,64
